PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
3987,1738,Soundview Terrace,2500 11th Ave W,98119,-122.37141,47.640849,"{'longitude': '-122.37141', 'needs_recoding': False, 'latitude': '47.640849'}"
4048,1624,South Park Meadow,9141 8th Ave S,98108,-122.323649,47.520795,"{'longitude': '-122.323649', 'needs_recoding': False, 'latitude': '47.520795'}"
467,1177,South Park Playground,738 S Sullivan St,98108,-122.324159,47.528016,"{'longitude': '-122.324159', 'needs_recoding': False, 'latitude': '47.528016'}"
377,2431,South Passage Point Park,3320 Fuhrman Ave E,98102,-122.322486,47.652087,"{'longitude': '-122.322486', 'needs_recoding': False, 'latitude': '47.652087'}"
381,2523,Spring Street Mini Park,1506 E Spring St,98122,-122.3124,47.611801,"{'longitude': '-122.3124', 'needs_recoding': False, 'latitude': '47.611801'}"
3117,2524,Spruce Street Mini Park,160 21st Ave,98122,-122.304648,47.603091,"{'longitude': '-122.304648', 'needs_recoding': False, 'latitude': '47.603091'}"
2848,2848,St. Mark's Greenbelt,1500 Lakeview Blvd E,98102,-122.322174,47.63115,"{'longitude': '-122.322174', 'needs_recoding': False, 'latitude': '47.63115'}"
425,1844,Stan Sayres Memorial Park,3808 Lake Washington Blvd S,98118,-122.277162,47.571222,"{'longitude': '-122.277162', 'needs_recoding': False, 'latitude': '47.571222'}"
3919,1630,Stevens Place,2919 Beacon Ave S,98144,-122.310563,47.577122,"{'longitude': '-122.310563', 'needs_recoding': False, 'latitude': '47.577122'}"
3981,1631,Stevens Triangle,3809 E John St,98112,-122.283592,47.619443,"{'longitude': '-122.283592', 'needs_recoding': False, 'latitude': '47.619443'}"
592,1633,Sturgus Park,904 Sturgus Ave S,98144,-122.314376,47.59409,"{'longitude': '-122.314376', 'needs_recoding': False, 'latitude': '47.59409'}"
290,1633,Sturtevant Ravine,9335 Sturtevant Ave S,98118,-122.268561,47.51783,"{'longitude': '-122.268561', 'needs_recoding': False, 'latitude': '47.51783'}"
383,1635,Summit Place,Belmont Ave E & Bellevue Pl E,98102,-122.325708,47.627081,"{'longitude': '-122.325708', 'needs_recoding': False, 'latitude': '47.627081'}"
4461,1636,Summit Slope Park,200 Summit Ave E,98102,-122.325298,47.619832,"{'longitude': '-122.325298', 'needs_recoding': False, 'latitude': '47.619832'}"
3903,2500,Sunnyside Ave N Boat Ramp,2301 N Northlake Way,98103,-122.330723,47.650292,"{'longitude': '-122.330723', 'needs_recoding': False, 'latitude': '47.650292'}"
252,1638,Sunset Hill Park,7531 34th Ave NW,98117,-122.400938,47.684034,"{'longitude': '-122.400938', 'needs_recoding': False, 'latitude': '47.684034'}"
3901,1639,Sunset Place,105 NW 52nd St,98107,-122.357602,47.666686,"{'longitude': '-122.357602', 'needs_recoding': False, 'latitude': '47.666686'}"
